 ,Label,Area,Mean,StdDev,Min,Max,Circ.,AR,Round,Solidity
1,C3-FluorescentCells.tif,593,255,0,255,255,0.838,1.538,0.650,0.944
2,C3-FluorescentCells.tif,824,255,0,255,255,0.902,1.202,0.832,0.951
3,C3-FluorescentCells.tif,705,255,0,255,255,0.833,1.339,0.747,0.943
4,C3-FluorescentCells.tif,454,255,0,255,255,0.877,1.230,0.813,0.927
5,C3-FluorescentCells.tif,2097,255,0,255,255,0.862,1.374,0.728,0.965
6,C3-FluorescentCells.tif,406,255,0,255,255,0.817,1.498,0.667,0.924
7,C3-FluorescentCells.tif,72,255,0,255,255,0.184,2.008,0.498,0.571
8,C3-FluorescentCells.tif,50,255,0,255,255,0.432,1.149,0.870,0.758
9,C3-FluorescentCells.tif,51,255,0,255,255,0.295,1.536,0.651,0.637
10,C3-FluorescentCells.tif,50,255,0,255,255,0.432,1.149,0.870,0.758
11,C3-FluorescentCells.tif,50,255,0,255,255,0.241,1.415,0.707,0.662
12,C3-FluorescentCells.tif,56,255,0,255,255,0.463,1.176,0.851,0.727
13,C3-FluorescentCells.tif,58,255,0,255,255,0.213,1.295,0.772,0.655
14,C3-FluorescentCells.tif,51,255,0,255,255,0.262,1.138,0.879,0.675
15,C3-FluorescentCells.tif,55,255,0,255,255,0.203,1.611,0.621,0.679
16,C3-FluorescentCells.tif,64,255,0,255,255,0.228,1.846,0.542,0.711
17,C3-FluorescentCells.tif,72,255,0,255,255,0.178,2.260,0.442,0.661
18,C3-FluorescentCells.tif,69,255,0,255,255,0.193,2.033,0.492,0.670
19,C3-FluorescentCells.tif,56,255,0,255,255,0.463,1.176,0.851,0.727
